000.pgm 	 (111 , 156) 	 No Motion Centroid 	 No Motion Diff 
001.pgm 	 (111 , 156) 	 No Motion Centroid 	 No Motion Difference
002.pgm 	 (111 , 156) 	 No Motion Centroid 	 No Motion Difference
003.pgm 	 (111 , 156) 	 No Motion Centroid 	 No Motion Difference
004.pgm 	 (111 , 156) 	 No Motion Centroid 	 No Motion Difference
005.pgm 	 (111 , 156) 	 Motion Centroid 	 No Motion Difference
006.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
007.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
008.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
009.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
010.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
011.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
012.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
013.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
014.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
015.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
016.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
017.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
018.pgm 	 (111 , 157) 	 No Motion Centroid 	 No Motion Difference
019.pgm 	 (111 , 157) 	 No Motion Centroid 	 Motion Difference
020.pgm 	 (111 , 157) 	 Motion Centroid 	 Motion Difference
021.pgm 	 (111 , 158) 	 Motion Centroid 	 Motion Difference
022.pgm 	 (112 , 160) 	 Motion Centroid 	 Motion Difference
023.pgm 	 (113 , 162) 	 Motion Centroid 	 Motion Difference
024.pgm 	 (113 , 164) 	 Motion Centroid 	 Motion Difference
025.pgm 	 (112 , 165) 	 Motion Centroid 	 Motion Difference
026.pgm 	 (112 , 164) 	 Motion Centroid 	 Motion Difference
027.pgm 	 (111 , 163) 	 Motion Centroid 	 Motion Difference
028.pgm 	 (110 , 162) 	 Motion Centroid 	 Motion Difference
029.pgm 	 (110 , 161) 	 Motion Centroid 	 Motion Difference
030.pgm 	 (110 , 160) 	 Motion Centroid 	 Motion Difference
031.pgm 	 (109 , 160) 	 Motion Centroid 	 Motion Difference
032.pgm 	 (109 , 159) 	 No Motion Centroid 	 Motion Difference
033.pgm 	 (109 , 159) 	 Motion Centroid 	 Motion Difference
034.pgm 	 (108 , 159) 	 No Motion Centroid 	 Motion Difference
035.pgm 	 (108 , 159) 	 No Motion Centroid 	 Motion Difference
036.pgm 	 (108 , 159) 	 No Motion Centroid 	 Motion Difference
037.pgm 	 (108 , 159) 	 No Motion Centroid 	 Motion Difference
038.pgm 	 (108 , 159) 	 Motion Centroid 	 Motion Difference
